Date,Open,High,Low,Close,Adj Close,Volume
2000-04-24,19400.000000,20200.000000,18300.000000,18550.000000,14076.044922,205900
2000-04-25,18000.000000,18400.000000,17800.000000,17950.000000,13620.753906,134800
2000-04-26,19000.000000,19350.000000,17300.000000,17400.000000,13203.406250,195500
2000-04-27,16650.000000,17400.000000,15750.000000,15900.000000,12065.180664,186300
2000-04-28,16100.000000,16600.000000,15200.000000,16100.000000,12216.945313,246200
2000-05-01,16100.000000,16100.000000,16100.000000,16100.000000,12216.945313,0
2000-05-02,16500.000000,18500.000000,16300.000000,18500.000000,14038.104492,439600
2000-05-03,19400.000000,19650.000000,17900.000000,19200.000000,14569.274414,527300
2000-05-04,19100.000000,19500.000000,18350.000000,19100.000000,14493.393555,181400
2000-05-05,19100.000000,19100.000000,19100.000000,19100.000000,14493.393555,0
2000-05-08,20000.000000,20300.000000,19100.000000,19200.000000,14569.274414,190000
2000-05-09,19200.000000,19200.000000,19200.000000,19200.000000,14569.274414,0
2000-05-10,18000.000000,18850.000000,18000.000000,18500.000000,14038.104492,104000
2000-05-11,18500.000000,18500.000000,18500.000000,18500.000000,14038.104492,0
2000-05-12,18050.000000,18550.000000,17300.000000,17550.000000,13317.228516,209300
2000-05-15,17300.000000,17450.000000,16050.000000,16300.000000,12368.708008,114000
2000-05-16,16100.000000,16900.000000,15900.000000,16700.000000,12672.234375,119800
2000-05-17,17000.000000,17400.000000,15100.000000,15650.000000,11875.476563,164300
2000-05-18,14500.000000,15200.000000,13350.000000,13900.000000,10547.548828,240000
2000-05-19,13300.000000,14300.000000,12550.000000,13600.000000,10319.904297,283700
2000-05-22,13100.000000,13300.000000,12000.000000,12000.000000,9105.797852,187400
2000-05-23,10750.000000,13000.000000,10750.000000,12400.000000,9409.323242,371400
2000-05-24,11900.000000,12550.000000,11650.000000,11900.000000,9029.916016,221500
2000-05-25,12200.000000,13650.000000,11900.000000,12800.000000,9712.851563,534500
2000-05-26,12050.000000,12750.000000,11700.000000,11700.000000,8878.153320,223100
2000-05-29,11000.000000,12000.000000,11000.000000,11400.000000,8650.507813,171900
2000-05-30,11400.000000,11400.000000,11400.000000,11400.000000,8650.507813,0
2000-05-31,14500.000000,15050.000000,14150.000000,15050.000000,11420.188477,221000
2000-06-01,15800.000000,16300.000000,15000.000000,15450.000000,11723.713867,750200
2000-06-02,16500.000000,16800.000000,15050.000000,16300.000000,12368.708008,438500
2000-06-05,17700.000000,18700.000000,17100.000000,18700.000000,14189.865234,413700
2000-06-06,18700.000000,18700.000000,18700.000000,18700.000000,14189.865234,0
2000-06-07,18500.000000,20700.000000,18200.000000,20400.000000,15479.854492,518300
2000-06-08,20000.000000,20400.000000,18150.000000,18500.000000,14038.104492,522700
