Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,182000.000000,186000.000000,160000.000000,169000.000000,88024.757813,2344500
2000-01-05,148000.000000,160000.000000,145000.000000,145500.000000,75784.617188,2744900
2000-01-06,151000.000000,154000.000000,145000.000000,147500.000000,76826.296875,2275100
2000-01-07,141000.000000,142500.000000,126500.000000,133000.000000,69273.898438,2404200
2000-01-10,140000.000000,149500.000000,137500.000000,145000.000000,75524.164063,2273400
2000-01-11,148000.000000,149000.000000,139000.000000,140000.000000,72919.898438,1706100
2000-01-12,135000.000000,137000.000000,131000.000000,131500.000000,68492.609375,1211700
2000-01-13,132000.000000,134500.000000,126000.000000,130000.000000,67711.328125,1750000
2000-01-14,134000.000000,138000.000000,128500.000000,131500.000000,68492.609375,1637600
2000-01-17,134000.000000,138500.000000,133000.000000,137500.000000,71617.742188,1065800
2000-01-18,138500.000000,145000.000000,135000.000000,139500.000000,72659.468750,1471000
2000-01-19,137500.000000,139000.000000,132000.000000,132000.000000,68753.054688,1357000
2000-01-20,130000.000000,135000.000000,126500.000000,135000.000000,70315.609375,1170000
2000-01-21,130000.000000,132000.000000,127500.000000,129000.000000,67190.468750,1152700
2000-01-24,127500.000000,131500.000000,126000.000000,126000.000000,65627.898438,1046400
2000-01-25,123000.000000,123000.000000,118000.000000,118000.000000,61461.058594,1266700
2000-01-26,118000.000000,118500.000000,107000.000000,110000.000000,57294.195313,1465300
2000-01-27,111000.000000,116000.000000,109000.000000,114000.000000,59377.632813,1157400
2000-01-28,118000.000000,125500.000000,116000.000000,122000.000000,63544.472656,1619500
2000-01-31,123000.000000,127500.000000,120000.000000,126000.000000,65627.898438,1171100
2000-02-01,129500.000000,130000.000000,122500.000000,124000.000000,64586.175781,938600
2000-02-02,125000.000000,127000.000000,120000.000000,125000.000000,65107.054688,1085200
2000-02-03,127000.000000,127500.000000,121000.000000,124000.000000,64586.175781,1288000
2000-02-04,124000.000000,124000.000000,124000.000000,124000.000000,64586.175781,0
2000-02-07,125500.000000,141000.000000,125000.000000,137000.000000,71357.320313,2553700
2000-02-08,138000.000000,138500.000000,131500.000000,132000.000000,68753.054688,1147800
2000-02-09,135500.000000,140000.000000,134500.000000,138000.000000,71878.171875,1447100
2000-02-10,132000.000000,147000.000000,132000.000000,136500.000000,71096.882813,2480500
2000-02-11,139500.000000,143000.000000,135000.000000,135500.000000,70576.039063,1347900
2000-02-14,133000.000000,137500.000000,130000.000000,132000.000000,68753.054688,1251800
2000-02-15,134000.000000,134500.000000,121500.000000,124000.000000,64586.175781,1338200
2000-02-16,124000.000000,126000.000000,115500.000000,123000.000000,64065.320313,1321700
2000-02-17,116000.000000,123000.000000,116000.000000,122000.000000,63544.472656,1524600
2000-02-18,122000.000000,128000.000000,118000.000000,118000.000000,61461.058594,1653900
2000-02-21,115000.000000,116000.000000,110500.000000,111000.000000,57815.058594,1042800
2000-02-22,111000.000000,117000.000000,109000.000000,114500.000000,59638.050781,1217900
2000-02-23,114000.000000,116500.000000,111000.000000,115000.000000,59898.476563,1272700
2000-02-24,115000.000000,117500.000000,113000.000000,114000.000000,59377.632813,913700
2000-02-25,109000.000000,112000.000000,106500.000000,109000.000000,56773.339844,1651600
2000-02-28,107500.000000,108000.000000,97200.000000,97800.000000,50939.757813,1706600
2000-02-29,99500.000000,101000.000000,93500.000000,95500.000000,49741.789063,1705800
2000-03-01,95500.000000,95500.000000,95500.000000,95500.000000,49741.789063,0
2000-03-02,99000.000000,109500.000000,96000.000000,107500.000000,55992.070313,2053200
2000-03-03,113000.000000,114000.000000,106500.000000,110000.000000,57294.195313,1522600
2000-03-06,115000.000000,116000.000000,111500.000000,113000.000000,58856.777344,1066900
2000-03-07,109000.000000,113000.000000,105000.000000,113000.000000,58856.777344,761000
2000-03-08,106000.000000,115000.000000,106000.000000,113000.000000,58856.777344,811500
2000-03-09,118000.000000,119500.000000,109000.000000,109000.000000,56773.339844,1907600
2000-03-10,113000.000000,113500.000000,107000.000000,108000.000000,56252.484375,931500
2000-03-13,105500.000000,106000.000000,99000.000000,99900.000000,52033.546875,1136900
2000-03-14,98000.000000,99500.000000,96000.000000,97800.000000,50939.757813,835200
2000-03-15,95100.000000,96000.000000,92000.000000,94000.000000,48960.496094,951800
2000-03-16,95600.000000,98000.000000,94300.000000,97000.000000,50523.078125,934100
2000-03-17,100000.000000,101500.000000,97500.000000,100000.000000,52085.636719,1043100
2000-03-20,100000.000000,101500.000000,97100.000000,97100.000000,50575.164063,499600
2000-03-21,95000.000000,100000.000000,93100.000000,100000.000000,52085.636719,884000
2000-03-22,101000.000000,104000.000000,99000.000000,103000.000000,53648.210938,1145200
2000-03-23,103000.000000,103500.000000,99000.000000,102500.000000,53387.773438,1017400
2000-03-24,100000.000000,101500.000000,99600.000000,100000.000000,52085.636719,655100
2000-03-27,100000.000000,101000.000000,98100.000000,98100.000000,51096.019531,622700
2000-03-28,97200.000000,101000.000000,97200.000000,97800.000000,50939.757813,820500
2000-03-29,98200.000000,99800.000000,97500.000000,98700.000000,51408.531250,1036800
2000-03-30,101000.000000,106500.000000,99600.000000,103500.000000,53908.628906,1725300
2000-03-31,101000.000000,103000.000000,98000.000000,98000.000000,51043.914063,1158400
2000-04-03,100000.000000,100000.000000,92000.000000,93700.000000,48804.234375,829700
2000-04-04,92000.000000,93700.000000,88200.000000,93700.000000,48804.234375,863900
2000-04-05,93700.000000,93700.000000,93700.000000,93700.000000,48804.234375,0
2000-04-06,91100.000000,92800.000000,89700.000000,89700.000000,46720.816406,577000
2000-04-07,89800.000000,93500.000000,89700.000000,92000.000000,47918.789063,850400
2000-04-10,96000.000000,96500.000000,93400.000000,93500.000000,48700.066406,1302300
2000-04-11,94800.000000,94800.000000,92500.000000,93800.000000,48856.332031,836600
2000-04-12,93000.000000,94800.000000,92400.000000,92500.000000,48179.207031,791800
2000-04-13,92500.000000,92500.000000,92500.000000,92500.000000,48179.207031,0
2000-04-14,90000.000000,90200.000000,87000.000000,88000.000000,45835.355469,704600
2000-04-17,74800.000000,79500.000000,74800.000000,74800.000000,38960.062500,1383600
2000-04-18,82000.000000,82000.000000,73300.000000,75000.000000,39064.230469,1381200
2000-04-19,78500.000000,80500.000000,76000.000000,77000.000000,40105.949219,1433300
2000-04-20,78000.000000,83100.000000,76900.000000,82400.000000,42918.570313,1254500
2000-04-21,83400.000000,85000.000000,81200.000000,82100.000000,42762.320313,963700
2000-04-24,83500.000000,83700.000000,79200.000000,79500.000000,41408.085938,586200
2000-04-25,77000.000000,80500.000000,77000.000000,80400.000000,41876.859375,654000
2000-04-26,82500.000000,83000.000000,77100.000000,77900.000000,40574.710938,662200
2000-04-27,77000.000000,79800.000000,75000.000000,75800.000000,39480.917969,672900
2000-04-28,75700.000000,77300.000000,74000.000000,75800.000000,39480.917969,903500
2000-05-01,75800.000000,75800.000000,75800.000000,75800.000000,39480.917969,0
2000-05-02,76100.000000,81100.000000,75200.000000,80000.000000,41668.500000,1975500
2000-05-03,79900.000000,80500.000000,77500.000000,78800.000000,41043.476563,895300
2000-05-04,79600.000000,79900.000000,77600.000000,78700.000000,40991.398438,687000
2000-05-05,78700.000000,78700.000000,78700.000000,78700.000000,40991.398438,0
2000-05-08,80000.000000,83000.000000,79600.000000,81500.000000,42449.796875,1185400
2000-05-09,81500.000000,81500.000000,81500.000000,81500.000000,42449.796875,0
2000-05-10,81500.000000,82600.000000,80600.000000,82000.000000,42710.226563,762400
2000-05-11,82000.000000,82000.000000,82000.000000,82000.000000,42710.226563,0
2000-05-12,83500.000000,83700.000000,80900.000000,81400.000000,42397.718750,626200
2000-05-15,80200.000000,81400.000000,78700.000000,80500.000000,41928.941406,531100
2000-05-16,80000.000000,84000.000000,78200.000000,83300.000000,43387.324219,1106800
2000-05-17,86000.000000,89000.000000,82000.000000,83500.000000,43491.511719,1789400
2000-05-18,80100.000000,83000.000000,80100.000000,81500.000000,42449.796875,868000
2000-05-19,81100.000000,86100.000000,79500.000000,86000.000000,44793.652344,1402900
2000-05-22,82500.000000,84000.000000,79500.000000,80000.000000,41668.500000,840400
2000-05-23,78500.000000,80600.000000,76100.000000,78400.000000,40835.136719,1050500
2000-05-24,75500.000000,77000.000000,69100.000000,73500.000000,38282.945313,1421400
2000-05-25,76000.000000,77300.000000,73100.000000,76000.000000,39585.085938,1405500
2000-05-26,74000.000000,77300.000000,73100.000000,73500.000000,38282.945313,1212200
2000-05-29,69500.000000,74000.000000,69500.000000,73000.000000,38022.511719,1038300
2000-05-30,73000.000000,73000.000000,73000.000000,73000.000000,38022.511719,0
2000-05-31,82700.000000,84800.000000,80200.000000,84000.000000,43751.937500,1770100
2000-06-01,82000.000000,84000.000000,81000.000000,82400.000000,42918.570313,761000
2000-06-02,84500.000000,85500.000000,82600.000000,84000.000000,43751.937500,1164500
2000-06-05,86100.000000,90900.000000,85100.000000,88300.000000,45991.625000,1657800
2000-06-06,88300.000000,88300.000000,88300.000000,88300.000000,45991.625000,0
2000-06-07,90500.000000,101500.000000,89500.000000,101500.000000,52866.921875,3736700
2000-06-08,109000.000000,111500.000000,98100.000000,101500.000000,52866.921875,5599900
2000-06-09,99800.000000,106000.000000,96300.000000,102500.000000,53387.773438,2345800
2000-06-12,106500.000000,107500.000000,98700.000000,100000.000000,52085.636719,1452700
2000-06-13,100000.000000,100000.000000,91000.000000,91000.000000,47397.917969,1091500
2000-06-14,92000.000000,96600.000000,90100.000000,95600.000000,49793.867188,1698200
2000-06-15,96000.000000,96200.000000,91100.000000,91900.000000,47866.703125,1009900
2000-06-16,88200.000000,94200.000000,88200.000000,91500.000000,47658.355469,758800
2000-06-19,90200.000000,95300.000000,89500.000000,91700.000000,47762.527344,1200700
2000-06-20,93500.000000,94500.000000,90500.000000,91200.000000,47502.093750,866600
2000-06-21,91500.000000,92100.000000,89100.000000,89500.000000,46616.632813,1182400
2000-06-22,91000.000000,92500.000000,89000.000000,90100.000000,46929.160156,837800
2000-06-23,88000.000000,89500.000000,87500.000000,89400.000000,46564.554688,555100
2000-06-26,88000.000000,90900.000000,88000.000000,90200.000000,46981.242188,540700
2000-06-27,92000.000000,94100.000000,90800.000000,94000.000000,48960.496094,782400
2000-06-28,95400.000000,97000.000000,94500.000000,96400.000000,50210.562500,1067500
2000-06-29,99000.000000,99900.000000,95200.000000,97200.000000,50627.238281,1186700
2000-06-30,96700.000000,100000.000000,96200.000000,98200.000000,51148.089844,850100
2000-07-03,99200.000000,99900.000000,96800.000000,96900.000000,50470.980469,810100
2000-07-04,96400.000000,96500.000000,92600.000000,93000.000000,48439.636719,915700
2000-07-05,92000.000000,93900.000000,91300.000000,92000.000000,47918.789063,461800
2000-07-06,92000.000000,92600.000000,89500.000000,92000.000000,47918.789063,505500
2000-07-07,91100.000000,93000.000000,90600.000000,91100.000000,47450.003906,419700
2000-07-10,91100.000000,92200.000000,90500.000000,90600.000000,47189.589844,375800
2000-07-11,92800.000000,94800.000000,90600.000000,91900.000000,47866.703125,766900
2000-07-12,92000.000000,93500.000000,91100.000000,93000.000000,48439.636719,494600
2000-07-13,93000.000000,93000.000000,91000.000000,91500.000000,47658.355469,807700
2000-07-14,92000.000000,92300.000000,90400.000000,90400.000000,47085.406250,350900
2000-07-17,90400.000000,90400.000000,90400.000000,90400.000000,47085.406250,0
2000-07-18,90000.000000,91200.000000,89500.000000,90900.000000,47345.847656,296400
2000-07-19,90000.000000,91200.000000,89500.000000,90900.000000,47345.847656,296400
2000-07-20,85200.000000,88900.000000,85200.000000,86900.000000,45262.421875,653000
2000-07-21,86000.000000,87600.000000,84500.000000,85300.000000,44429.046875,370700
2000-07-24,83100.000000,84900.000000,80300.000000,81100.000000,42241.449219,410500
2000-07-25,79200.000000,82000.000000,77500.000000,79900.000000,41616.421875,615400
2000-07-26,81100.000000,81400.000000,76600.000000,79000.000000,41147.664063,843600
2000-07-27,77700.000000,79800.000000,77500.000000,78900.000000,41095.570313,370000
2000-07-28,78400.000000,79200.000000,77200.000000,78000.000000,40626.804688,589600
2000-07-31,76000.000000,80000.000000,76000.000000,79800.000000,41564.328125,439400
2000-08-01,80000.000000,80500.000000,78000.000000,79600.000000,41460.164063,509600
2000-08-02,79900.000000,82000.000000,78800.000000,80000.000000,41668.500000,467500
2000-08-03,81800.000000,82300.000000,79700.000000,80000.000000,41668.500000,448200
2000-08-04,80100.000000,80900.000000,79000.000000,80500.000000,41928.941406,274700
2000-08-07,79700.000000,79900.000000,77300.000000,78000.000000,40626.804688,320300
2000-08-08,76100.000000,78900.000000,76100.000000,76500.000000,39845.511719,393200
2000-08-09,78000.000000,81500.000000,77600.000000,81500.000000,42449.796875,560000
2000-08-10,80800.000000,82400.000000,78300.000000,82400.000000,42918.570313,719600
2000-08-11,79000.000000,81800.000000,78900.000000,80600.000000,41981.019531,445300
2000-08-14,83000.000000,83200.000000,80500.000000,80600.000000,41981.019531,347600
2000-08-15,80600.000000,80600.000000,80600.000000,80600.000000,41981.019531,0
2000-08-16,81200.000000,82000.000000,80500.000000,81000.000000,42189.363281,478000
