Date,Open,High,Low,Close,Adj Close,Volume
2000-02-11,273000.000000,273000.000000,273000.000000,273000.000000,258278.734375,55300
2000-02-14,264000.000000,298000.000000,240500.000000,247000.000000,233680.750000,1254100
2000-02-15,250000.000000,259000.000000,217500.000000,217500.000000,205771.531250,648600
2000-02-16,210000.000000,243500.000000,200000.000000,243500.000000,230369.500000,871400
2000-02-17,246000.000000,267500.000000,235000.000000,243500.000000,230369.500000,1019800
2000-02-18,250500.000000,256500.000000,225000.000000,228000.000000,215705.312500,912300
2000-02-21,210000.000000,228000.000000,201500.000000,206500.000000,195364.671875,588600
2000-02-22,215000.000000,222000.000000,191000.000000,196000.000000,185430.890625,481700
2000-02-23,187000.000000,193000.000000,172500.000000,180000.000000,170293.656250,461500
2000-02-24,199000.000000,201500.000000,190000.000000,201500.000000,190634.328125,198100
2000-02-25,219500.000000,221500.000000,198000.000000,200000.000000,189215.187500,505100
2000-02-28,190000.000000,205000.000000,183500.000000,184000.000000,174077.953125,472000
2000-02-29,191000.000000,195000.000000,178500.000000,184000.000000,174077.953125,277400
2000-03-01,184000.000000,184000.000000,184000.000000,184000.000000,174077.953125,0
2000-03-02,190000.000000,195000.000000,173000.000000,179500.000000,169820.640625,309000
2000-03-03,158000.000000,165000.000000,158000.000000,158000.000000,149479.984375,616700
2000-03-06,165000.000000,167500.000000,142000.000000,147000.000000,139073.187500,476900
2000-03-07,141500.000000,159000.000000,135000.000000,156000.000000,147587.859375,583900
2000-03-08,148000.000000,167000.000000,147000.000000,160000.000000,151372.140625,765800
2000-03-09,164000.000000,179000.000000,155000.000000,179000.000000,169347.609375,657100
2000-03-10,185000.000000,196000.000000,169000.000000,177000.000000,167455.468750,805700
2000-03-13,177000.000000,180000.000000,156000.000000,157000.000000,148533.906250,480700
2000-03-14,143000.000000,155000.000000,141000.000000,145500.000000,137654.046875,432500
2000-03-15,140000.000000,154000.000000,134000.000000,142500.000000,134815.812500,620700
2000-03-16,145000.000000,158500.000000,138500.000000,147000.000000,139073.187500,1060100
2000-03-17,143000.000000,145000.000000,129500.000000,129500.000000,122516.820313,354300
2000-03-20,125000.000000,125000.000000,114000.000000,114000.000000,107852.656250,282600
2000-03-21,102000.000000,117500.000000,100500.000000,110000.000000,104068.359375,721600
2000-03-22,115000.000000,123000.000000,113000.000000,114500.000000,108325.671875,663100
2000-03-23,119500.000000,123000.000000,106000.000000,110000.000000,104068.359375,479600
2000-03-24,113500.000000,116000.000000,105000.000000,109000.000000,103122.281250,294700
2000-03-27,111000.000000,119000.000000,105500.000000,115500.000000,109271.765625,626000
2000-03-28,116000.000000,119500.000000,114000.000000,115500.000000,109271.765625,272200
2000-03-29,110000.000000,114000.000000,102000.000000,103000.000000,97445.820313,239900
2000-03-30,96500.000000,115000.000000,91000.000000,115000.000000,108798.726563,588400
2000-03-31,111500.000000,122000.000000,102000.000000,102500.000000,96972.773438,655600
2000-04-03,105000.000000,107500.000000,91700.000000,96500.000000,91296.328125,369300
2000-04-04,92000.000000,93500.000000,85600.000000,87800.000000,83065.460938,525300
2000-04-05,87800.000000,87800.000000,87800.000000,87800.000000,83065.460938,0
2000-04-06,88000.000000,96800.000000,87000.000000,89200.000000,84389.984375,688600
2000-04-07,94000.000000,99900.000000,92000.000000,99900.000000,94512.992188,413900
2000-04-10,108000.000000,111500.000000,106000.000000,111500.000000,105487.468750,104200
2000-04-11,100500.000000,117000.000000,99500.000000,100000.000000,94607.593750,822600
2000-04-12,97000.000000,100000.000000,94000.000000,97000.000000,91769.375000,297300
2000-04-13,97000.000000,97000.000000,97000.000000,97000.000000,91769.375000,0
2000-04-14,90000.000000,92000.000000,85400.000000,85400.000000,80794.890625,236500
2000-04-17,75200.000000,75200.000000,75200.000000,75200.000000,71144.906250,7500
2000-04-18,77100.000000,82900.000000,66200.000000,67400.000000,63765.515625,631100
2000-04-19,70200.000000,74900.000000,66100.000000,68000.000000,64333.167969,649200
2000-04-20,67000.000000,68300.000000,60000.000000,62800.000000,59413.570313,424100
2000-04-21,64600.000000,70300.000000,61400.000000,70300.000000,66509.140625,789100
2000-04-24,69800.000000,71800.000000,62000.000000,62000.000000,58656.707031,460800
2000-04-25,59100.000000,63600.000000,57300.000000,61200.000000,57899.847656,475000
2000-04-26,64300.000000,65800.000000,59400.000000,60000.000000,56764.554688,415600
2000-04-27,57500.000000,59500.000000,52800.000000,52800.000000,49952.808594,261500
2000-04-28,54000.000000,55400.000000,50500.000000,52500.000000,49668.984375,416300
2000-05-01,52500.000000,52500.000000,52500.000000,52500.000000,49668.984375,0
2000-05-02,54100.000000,58800.000000,53200.000000,58800.000000,55629.261719,332600
2000-05-03,59900.000000,63500.000000,59200.000000,62000.000000,58656.707031,558800
2000-05-04,62700.000000,68400.000000,60600.000000,63500.000000,60075.820313,444600
2000-05-05,63500.000000,63500.000000,63500.000000,63500.000000,60075.820313,0
2000-05-08,66100.000000,68000.000000,62500.000000,62700.000000,59318.964844,430600
2000-05-09,62700.000000,62700.000000,62700.000000,62700.000000,59318.964844,0
2000-05-10,58500.000000,60000.000000,56000.000000,57400.000000,54304.753906,343400
2000-05-11,57400.000000,57400.000000,57400.000000,57400.000000,54304.753906,0
2000-05-12,55900.000000,57100.000000,51600.000000,52000.000000,49195.953125,299400
2000-05-15,50000.000000,51500.000000,45800.000000,45850.000000,43377.578125,302500
2000-05-16,45850.000000,51300.000000,44000.000000,51300.000000,48533.691406,437700
2000-05-17,53100.000000,54000.000000,45200.000000,46000.000000,43519.488281,629800
2000-05-18,45000.000000,50800.000000,41500.000000,47200.000000,44654.781250,946700
2000-05-19,49500.000000,52800.000000,46100.000000,52800.000000,49952.808594,887700
2000-05-22,54000.000000,59100.000000,49000.000000,51100.000000,48344.484375,1720300
2000-05-23,53000.000000,57200.000000,51600.000000,57200.000000,54115.539063,615400
2000-05-24,59900.000000,64000.000000,58500.000000,64000.000000,60548.859375,1163500
2000-05-25,65000.000000,71600.000000,62000.000000,69600.000000,65846.875000,915700
2000-05-26,66900.000000,77500.000000,63100.000000,66000.000000,62441.011719,1274500
2000-05-29,66000.000000,69000.000000,62500.000000,64300.000000,60832.679688,744000
2000-05-30,64300.000000,64300.000000,64300.000000,64300.000000,60832.679688,0
2000-05-31,77400.000000,80600.000000,75800.000000,80600.000000,76253.718750,911800
2000-06-01,80600.000000,84900.000000,77300.000000,78600.000000,74361.554688,1171000
2000-06-02,82800.000000,85200.000000,75300.000000,78100.000000,73888.531250,769900
2000-06-05,83100.000000,87400.000000,81500.000000,87400.000000,82687.031250,613900
2000-06-06,87400.000000,87400.000000,87400.000000,87400.000000,82687.031250,0
2000-06-07,89000.000000,97800.000000,88000.000000,97800.000000,92526.234375,825500
2000-06-08,104000.000000,109500.000000,98600.000000,109500.000000,103595.320313,1214800
2000-06-09,105000.000000,118500.000000,96500.000000,99600.000000,94229.171875,1432700
2000-06-12,99000.000000,103500.000000,91000.000000,95400.000000,90255.648438,816000
2000-06-13,95000.000000,102500.000000,87500.000000,90800.000000,85903.687500,1032700
2000-06-14,94300.000000,96500.000000,87700.000000,90900.000000,85998.296875,697300
2000-06-15,89000.000000,90000.000000,80000.000000,80000.000000,75686.070313,474700
2000-06-16,77000.000000,89600.000000,75000.000000,89600.000000,84768.414063,1330600
2000-06-19,91000.000000,96700.000000,80300.000000,83000.000000,78524.289063,1523600
2000-06-20,86700.000000,89000.000000,81600.000000,84200.000000,79659.593750,710300
2000-06-21,85100.000000,92000.000000,84500.000000,88300.000000,83538.515625,1012500
2000-06-22,90000.000000,92400.000000,85000.000000,86900.000000,82213.984375,665700
2000-06-23,83000.000000,91100.000000,82800.000000,88500.000000,83727.734375,747200
2000-06-26,88000.000000,99100.000000,87000.000000,99100.000000,93756.125000,1247300
2000-06-27,102500.000000,107000.000000,95600.000000,100000.000000,94607.593750,2112000
2000-06-28,100000.000000,112000.000000,98000.000000,112000.000000,105960.507813,1329900
